worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,,,,,,,,,,,,,, worldcom s problems mounted  however  as competition increased and the telecoms boom petered out, when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs, mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence, he has firmly declared his innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the sunday telegraph said the lse s plan was further evidence it wants to retain tight control over its destiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bn (£8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the cost of military operations still needs to be factored in  with analysts saying the deficit could end up a further $100bn in the red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  india s defence budget has also been raised 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bn) deal to build a network in iran after mps there slashed its stake in the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  rank  formerly famous for the carry on series  will expose the shake-up at the announcement of its results on friday  the sunday telegraph reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  no formal offer has been made yet  but manchester united have confirmed they have received a  detailed proposal  from the us entrepreneur which could lead to a bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  financial newspaper nihon keizai shimbun claimed that the firms will join up next year and already have held discussions with japanese regulators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1% in 2004 singapore s economy grew by 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the admission is part of an apology sent to jp morgan staff after the bank researched its links to slavery in order to meet legislation in chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the securities and exchange commission has asked for information about transactions involving holders of 5% or more of the firm s shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  new york attorney general elliot spitzer said senior vice president robert stearns had pleaded guilty to scheming to defraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  leading plaintiff  the university of california  announced the news  adding that 10 of the former directors will pay $13m from their own pockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  standard & poor s has classed russian bonds as  investment grade   up from their former  speculative  rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  with a price tag under £80 000  the v8 vantage is tens of thousands of pounds cheaper than existing aston models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in a court filing on tuesday  it said the russian oil giant has few texas ties beyond bank accounts and a texas-based finance chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  earlier this month  mr glazer presented the board with detailed proposals on an offer to buy the football club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the iseq index of leading shares closed up 23 points to 6661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the company warned the move would cut its profits by $3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  they were trading 84% above the offer price on monday  changing hands at 372 riyals ($99; £53) after topping 400 early in the day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  firms led by the oil & natural gas corporation (ongc) will also assist in the development of iranian oil fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  gross domestic product fell by 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  b&b said the buy-to-let market - in which the bank is a major player - would continue to grow much faster than the wider mortgage market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  he will present an  action plan for the development of italy  in a meeting with industrialists and trade union leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the netherlands-based company is due to complete its $4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a tie-up between barclays and california-based wells fargo would create the world s fourth biggest bank  valued at $180bn (£96bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  kamal nath  commerce and industry minister  announced the decision in delhi on thursday following a cabinet meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the eu s own institutions have noted the uneven way eu customs rules are applied but failed to act  the us trade representative s office said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the move may be a precursor to a full takeover  with analysts saying that a better-known international firm may also now show an interest in sina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bn australian dollars ($2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  over the next few months  our panel of experts will be listening to your gripes about where you work  and suggesting ways to make your workspace more efficient  more congenial or simply prettier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6m in 2004 from £1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr morrow will succeed shiro tsuda as president of vodafone kk  japan s number three mobile operator  in april,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  yukos filed for chapter 11 protection in houston in an unsuccessful attempt to halt the auction of its yugansk division by the russian authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a total of 48% of chartered surveyor estate agents reported lower prices in the three months to november - the highest level in 12 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  comments by south korea s central bank at the end of last week have sparked the recent round of dollar declines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  according to the financial times  chief operating officer peter chernin said that news corp is  kicking the tyres of pretty much all video games companies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  shares in germany s thyssenkrupp  the uk s corus and france s arcleor fell while japan s nippon steel slid after it agreed to pay 72% more for iron ore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  on the new york stock exchange  shares in ireland-based elan lost 70% while us partner biogen idec shed 43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the federal reserve has raised its key federal funds rate by a quarter percentage point to 2% in light of mounting evidence that the us economy is regaining steam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr schroeder said existing fiscal rules should be loosened to allow countries to run deficits above the current 3% limit if they met certain criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  by revaluing its holdings  the imf may be able to sell billions of dollars of gold and use the cash to cancel debts owed by the world s poorest nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  most respondents also said their national economy was getting worse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  according to state statistics body insee  growth for the three months to december was a seasonally-adjusted 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7m; £19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  cairn said drilling to the north-west of its development site in rajasthan had produced  very strong results ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  world bank president james wolfensohn has said his agency is  only beginning to grasp the magnitude of the disaster  and its economic impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the world s second biggest insurer said disasters around the globe have seen property claims reach $42bn (£21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bn (£1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  net profit in the six months ending 31 december rose 28% to a$458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  calisto tanzi said he would co-operate fully with prosecutors investigating the background to one of europe s largest financial scandals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the increase in earnings has allowed the firm to write off bad loans and pave the way for a state bailout and eventual stock-market listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% to 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  their biggest worries are not terror threats  but over-regulation  low-cost competition and the wild ups and downs of oil prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  speaking in court  mr ebbers rejected allegations he pressured ex-chief financial officer scott sullivan to falsify company financial statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  pre-tax profits rose 15% from a year ago to reach £546m ($1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr khodorkovsky handed over his entire 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the media giant was not fined by the securities and exchange commission  but has agreed to refrain from any future violations of securities law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the service  launched in december and dubbed  otoku  or  bargain   has had almost 900 000 orders  softbank said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the worst-hit areas are sri lanka  india  indonesia and thailand  with at least 23 000 people killed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bn in 2004  the governmental chilean copper commission (cochilco) has reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  stores received a boost from bargain hunters but trading then reverted to december levels  the british retail consortium and accountants kpmg said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the firm collapsed with debts of about 14bn euros ($19bn; £10bn) and new boss enrico bondi has already taken legal action against a number of lenders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in a welcome economic boost for newly re-elected president george w bush  the labor department figures come after a slow summer of weak jobs gains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12bn) deal with the middle eastern sheikhdom of qatar to supply liquid natural gas (lng) to north america and europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bn) which should lead to 2 500 new ryanair jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the offer  made as part of a trade deal between the two countries  will allow china to operate oil fields in venezuela and invest in new refineries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the world trade organisation (wto) is to end its multi-fibre agreement (mfa) on midnight of 31 december,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in its first overview of the disaster  the adb said the impact on economic growth would be slight because major cities and factories escaped damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bn (£3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  staff calling in sick at us airways and computer failures at comair left 30 000 passengers stranded and 10 000 pieces of baggage undelivered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  scott sullivan admitted to jurors he was willing to commit fraud to meet wall street earnings projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  baikal finance group emerged as the auction winner  agreeing to pay 260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the average house price fell marginally to £180 226  from £180 444 in october,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bn) takeover of former parent at&t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  iran s parliament voted by a large majority to cut turkcell s stake in a new mobile network from 70% to 49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a court ruled that chongqing lifan industry group must stop selling honda brand motorbikes and said it must pay 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it believes the prospectus for a bond issue was unclear and that executives may have had privileged information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  pre-tax profit for 2004 was £15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  according to a registration document filed with the securities and exchange commission  nasdaq stock market plans to raise $100m (£52m) from the sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  but in the looking-glass world of modern russia  the opposite might just be true  a new report* has argued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  officials in cojedes state said on friday that farmland owned by a subsidiary of the vestey group would be taken and used to settle poor farmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  seasonally adjusted sales rose 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  unemployment stood at 25%  compared with 10% before the uprising against israeli occupation four years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the country s new president  mikhail saakashvili  has said that anyone now willing to disclose their wealth will only have to pay 1% in income tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  once past the welcome message  callers on average hang up after just 65 seconds of listening to canned music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the trio are chief executive willie walsh  chief financial officer brian dunne and chief operations officer seamus kearney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bn (£13bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the group s quarterly survey of companies found exports had picked up in the last three months of 2004 to their best levels in eight years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  an imf mission made the comments in a report published following 10 days of talks with the transition government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the move came after france and germany vowed to run their budget deficits below the eu cap in 2005 - for the first time in four years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 for five days  they will discuss issues ranging from china s economic power to iraq s future after this sunday s elections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the chartered institute of purchasing and supply (cips) said its purchasing manager index (pmi) fell to 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  brazil s airport authority chief carlos wilson had claimed the government was on the brink of stepping in to save varig  brazil s flagship airline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  eighteen investment firms involved in the sale of the investments agreed the compensation package with the financial services authority (fsa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  speaking at the trial of his former boss bernard ebbers  scott sullivan said he lied to the board to cover up the hole in worldcom s finances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  trade barriers and subsidies  severely  distort the market  the fao report on the  state of agricultural commodity markets 2004  said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5m ($14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  an investment ministry official has told the reuters news agency that the bank of alexandria will be sold sometime in 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  some 200 new jobs are to be created at the oxford factory  including modernised machinery and a new body shell production building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the faulty part does not represent a safety risk and the recall only affects pumps made in december and january,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  lufthansa said that it may lose millions of euros as a result of air force one landing at frankfurt airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
